epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,72.8739,3.84134,5.82228,4.23732,0.00033,3e-05,0.00017,2e-05,4.02199,5.04686,4.22679,0.00330952,0.00330952,0.00330952
2,146.672,2.78558,3.8708,3.06058,0.16522,0.05701,0.02819,0.00935,2.34055,3.81946,2.66514,0.00663847,0.00663847,0.00663847
3,220.124,2.26726,2.91368,2.28146,0.05978,0.2084,0.05653,0.02188,2.18426,4.36249,2.34285,0.00996302,0.00996302,0.00996302
4,293.088,1.96802,2.39333,1.98398,0.16642,0.22674,0.11123,0.04766,1.95951,2.65218,2.12868,0.0099802,0.0099802,0.0099802
5,365.984,1.79259,2.00177,1.82102,0.17152,0.37186,0.21181,0.09496,1.78416,1.98456,1.93959,0.0099736,0.0099736,0.0099736
6,436.838,1.68837,1.79308,1.73443,0.22236,0.35652,0.23886,0.10957,1.85658,1.69231,1.9501,0.009967,0.009967,0.009967
7,507.742,1.62748,1.64014,1.6917,0.34085,0.4361,0.30286,0.14369,1.75221,1.5977,1.86751,0.0099604,0.0099604,0.0099604
8,578.691,1.56762,1.52157,1.64427,0.23771,0.29707,0.19719,0.07903,2.06164,2.49614,2.17578,0.0099538,0.0099538,0.0099538
9,649.512,1.54486,1.42555,1.61807,0.49718,0.47235,0.44559,0.23049,1.608,1.38949,1.73986,0.0099472,0.0099472,0.0099472
10,720.477,1.50811,1.35976,1.59603,0.36802,0.51777,0.45043,0.23322,1.64295,1.35602,1.76428,0.0099406,0.0099406,0.0099406
11,791.418,1.4724,1.29939,1.56005,0.3925,0.49067,0.44513,0.2133,1.73281,1.3496,1.85638,0.009934,0.009934,0.009934
12,862.249,1.43555,1.24458,1.54459,0.46281,0.51272,0.48642,0.27955,1.47509,1.20968,1.64329,0.0099274,0.0099274,0.0099274
13,933.184,1.41119,1.20582,1.52883,0.50787,0.51316,0.53906,0.30231,1.53761,1.15579,1.68008,0.0099208,0.0099208,0.0099208
14,1004.02,1.38762,1.15683,1.50289,0.45791,0.48094,0.46659,0.19641,2.08342,1.45417,2.09847,0.0099142,0.0099142,0.0099142
15,1074.85,1.36976,1.12932,1.48686,0.49248,0.55104,0.53602,0.28955,1.54493,1.22064,1.69256,0.0099076,0.0099076,0.0099076
16,1145.6,1.34454,1.09324,1.47082,0.53969,0.54677,0.55971,0.28408,1.75979,1.15294,1.89112,0.009901,0.009901,0.009901
17,1216.38,1.33611,1.06126,1.46344,0.48503,0.60201,0.58047,0.32034,1.50454,1.08249,1.65653,0.0098944,0.0098944,0.0098944
18,1287.32,1.30898,1.04606,1.44509,0.5459,0.60724,0.62102,0.36808,1.40879,0.99828,1.57692,0.0098878,0.0098878,0.0098878
19,1358.17,1.28935,1.02812,1.42794,0.53887,0.60298,0.58983,0.29471,1.66649,1.10219,1.78811,0.0098812,0.0098812,0.0098812
20,1428.86,1.27764,0.9923,1.42501,0.57233,0.63489,0.64752,0.40443,1.32796,0.96112,1.5245,0.0098746,0.0098746,0.0098746
21,1499.74,1.26225,0.97805,1.42132,0.55709,0.60787,0.60191,0.24996,2.00121,1.13111,2.14148,0.009868,0.009868,0.009868
22,1570.53,1.25554,0.94626,1.40391,0.57358,0.59537,0.62183,0.3156,1.6893,1.0549,1.82687,0.0098614,0.0098614,0.0098614
23,1641.38,1.24686,0.94161,1.40177,0.63051,0.61576,0.67501,0.35279,1.59011,0.99057,1.71365,0.0098548,0.0098548,0.0098548
24,1712.18,1.22679,0.92266,1.38465,0.62464,0.62244,0.66062,0.43636,1.25702,0.92681,1.4722,0.0098482,0.0098482,0.0098482
25,1783.01,1.22334,0.90112,1.37843,0.55875,0.55273,0.58186,0.26084,1.94304,1.19146,2.12849,0.0098416,0.0098416,0.0098416
26,1853.83,1.21324,0.89183,1.36699,0.61243,0.62092,0.64709,0.34263,1.67706,1.00265,1.79184,0.009835,0.009835,0.009835
27,1924.62,1.20298,0.88335,1.35871,0.63718,0.62405,0.68168,0.44665,1.24405,0.90243,1.45437,0.0098284,0.0098284,0.0098284
28,1995.56,1.19667,0.87176,1.36509,0.63531,0.65407,0.69053,0.30565,2.043,1.03748,2.2272,0.0098218,0.0098218,0.0098218
29,2066.34,1.19857,0.86129,1.35511,0.65392,0.64714,0.69271,0.32383,1.79597,0.98327,1.96068,0.0098152,0.0098152,0.0098152
